soil,sand,clay,organic matter,cec,simulator measured Ke,opt. constant Kef,est. constant Kef,opt. baseline Kb,est. baseline Kb
Sharpsburg,5.2,40.1,2.8,29.4,7.3,1.6,1.8,1.8,1.8
Hersh,72.3,10.9,1.1,7.7,15.8,6.5,6.4,17.6,21.3
Keith,48.9,19.3,1.5,18.3,3.5,4.7,4.8,11.5,10.5
Amarillo,85,7.3,0.3,5.1,15,7,7.3,26.6,28.7
Woodward,51.7,13,2.2,11.6,12,4.5,4.9,9.2,12
Heiden,8.6,53.1,2.2,33.3,4.7,0.3,0.3,0.34,0.45
Los Banos,15.5,43.7,2,39.1,3.9,0.8,1,1.1,1.1
Portneuf,19.5,11.1,1.2,12.6,7.9,2,2.5,2.7,3
Nansene,20.1,12.8,1.9,16.6,5.3,2.2,2.6,2.8,3
Palouse,9.8,20.1,2.6,19.6,2.6,1.8,1.9,2,1.5
Zahl,46.3,24,2.5,19.5,5.7,5,4.5,14.1,9.5
Pierre,16.9,49.5,2.7,35.7,2.4,0.4,0.3,0.71,0.61
Williams,40.8,26.9,2.6,22.7,8.3,4.4,4.1,12.9,7.7
BarnesND,39.3,26.5,3.9,23.2,16.7,4.4,4,11.7,7.2
Sverdrup,75.3,7.9,2,11,20.3,6.3,6.6,14.5,22.2
BarnesMN,48.6,17,3.2,19.5,19.1,4.7,4.7,10.4,10.3
Mexico,5.5,25.3,2.5,21.3,6.2,0.3,0.3,0.34,1.1
Grenada,1.8,20.2,1.8,11.8,3.4,0.6,0.6,0.7,1.6
Tifton,86.4,2.8,0.7,2.1,14.9,6.6,7.4,14.8,32.6
Bonifay,91.2,3.3,0.5,1.7,34.8,14.8,14.2,60.2,36.4
Cecil,69.9,11.5,0.7,2,13.3,7.4,6,17.2,24.4
Hiwassee,63.7,14.7,1.3,4.4,13.6,6.3,5.8,17.2,18.7
Gaston,37.2,37.9,1.7,9.2,3.6,1.8,1.7,6.3,7.7
Opequon,37.7,31.1,2.3,12.9,7.6,1.9,1.7,6.3,7.3
Frederick,25.1,16.6,2.1,8.2,2.9,2.7,3,5.9,4.9
Manor,44,25.2,2.5,13.2,10,4.6,4.3,14.1,9.2
Collamer,6,15,1.7,9.2,3.6,0.7,0.7,0.73,2.1
Miamian,31.3,25.9,2.4,14.9,4.4,1.4,1.5,3.3,5.5
Lewisburg,38.5,29.3,1.4,12.5,3.7,1.8,1.8,5.5,7.6
Miami,4.2,23.1,1.3,13.3,0.9,1.6,1.5,1.7,1.5
Colonie,90.5,2.1,0.1,10,,14.5,14.2,38.3,30.4
Pratt,89,2.2,0.4,3.1,,13.3,14.2,32.8,32.4
Shelby,27.8,29,3,16.5,,2.9,3.2,7.8,4.6
Monona,7.1,23.5,2,20.1,,1.7,1.7,1.9,1.2
Ontario,44.2,14.9,4.5,11.8,,4.2,4.4,8.6,9.4
Stephensville,73.2,7.9,1.6,7.2,,6.2,6.4,13.7,21.9
Providence,2,19.8,0.8,9.3,,0.7,0.6,0.7,1.9
Egan,7,32.2,3.7,25.1,,1.7,1.7,1.8,1
Barnes,39.4,23.2,3.4,18.4,,4.1,4,10,7.4
Thatuna,28,23,4.3,16.2,,1.3,1.4,2.6,4.6
Caribou,38.8,13.7,3.8,13.2,,4.3,4,8.2,7.6
Tifton,87,5.7,0.7,4.1,,7.2,7.4,26.6,30.4
Cecil,66.5,19.6,0.9,4.8,,6.3,6.2,29.7,22.8
