question,answer,default,next_question,note
Do you wish to output [e]nglish or [m]etric units for the average annual summary output file?,e,,Do you wish to drop out of the model upon invalid input and write over identical output file names? (batch mode),
Do you wish to output [e]nglish or [m]etric units for the average annual summary output file?,m,x,Do you wish to drop out of the model upon invalid input and write over identical output file names? (batch mode),
Do you wish to drop out of the model upon invalid input and write over identical output file names? (batch mode) Enter N to run watershed option (not a SHELL option).,Y,x,"Continuous or single event option: 1 - continuous simulation, 2 - single storm",
Do you wish to drop out of the model upon invalid input and write over identical output file names? (batch mode) Enter N to run watershed option (not a SHELL option).,N,,"Continuous or single event option: 1 - continuous simulation, 2 - single storm",
"Continuous or single event option: 1 - continuous simulation, 2 - single storm",1,x,"Model version option: 1 - hillslope version (single hillslope only), 2 - hillslope/watershed version (multiple hillslopes, channels, and impoundments), 3 - watershed version (channels and impoundments) (option 2 or 3 must be previously selected)",
"Continuous or single event option: 1 - continuous simulation, 2 - single storm",2,,"Model version option: 1 - hillslope version (single hillslope only), 2 - hillslope/watershed version (multiple hillslopes, channels, and impoundments), 3 - watershed version (channels and impoundments) (option 2 or 3 must be previously selected)",
"Model version option: 1 - hillslope version (single hillslope only), 2 - hillslope/watershed version (multiple hillslopes, channels, and impoundments), 3 - watershed version (channels and impoundments) (option 2 or 3 must be previously selected)",1,x,Do you want hillslope pass file output (Y/N)? [N] -->,
"Model version option: 1 - hillslope version (single hillslope only), 2 - hillslope/watershed version (multiple hillslopes, channels, and impoundments), 3 - watershed version (channels and impoundments) (option 2 or 3 must be previously selected)",2,,Enter name of master watershed pass file --> ,
"Model version option: 1 - hillslope version (single hillslope only), 2 - hillslope/watershed version (multiple hillslopes, channels, and impoundments), 3 - watershed version (channels and impoundments) (option 2 or 3 must be previously selected)",3,,Multiple hillslopes or hillslope/watershed version: Enter the number of hillslopes --> ,
Do you want hillslope pass file output (Y/N)? [N] -->,Y,,Enter name of hillslope pass file -->,
Do you want hillslope pass file output (Y/N)? [N] -->,N,x,"Soil loss output options for continuous simulatio: [1] - Abbreviated annual, 2  - Detailed annual, 3  - Abbreviated event by event, 4  - Detailed event by event, 5  - Monthly, Enter Soil Loss output option [1]",
Multiple hillslopes or hillslope/watershed version: Enter the number of hillslopes --> ,1-75,,Do you wish to output [e]nglish or [m]etric units for the average annual summary output file? Enter [e] or [m] --> [m]etric default,
"Soil loss output options for continuous simulatio: [1] - Abbreviated annual, 2  - Detailed annual, 3  - Abbreviated event by event, 4  - Detailed event by event, 5  - Monthly, Enter Soil Loss output option [1]",1,,Do you want initial condition scenario output (Y/N)? [N] -->,
"Soil loss output options for continuous simulatio: [1] - Abbreviated annual, 2  - Detailed annual, 3  - Abbreviated event by event, 4  - Detailed event by event, 5  - Monthly, Enter Soil Loss output option [1]",2,,,
"Soil loss output options for continuous simulatio: [1] - Abbreviated annual, 2  - Detailed annual, 3  - Abbreviated event by event, 4  - Detailed event by event, 5  - Monthly, Enter Soil Loss output option [1]",3,,,
"Soil loss output options for continuous simulatio: [1] - Abbreviated annual, 2  - Detailed annual, 3  - Abbreviated event by event, 4  - Detailed event by event, 5  - Monthly, Enter Soil Loss output option [1]",4,,,
"Soil loss output options for continuous simulatio: [1] - Abbreviated annual, 2  - Detailed annual, 3  - Abbreviated event by event, 4  - Detailed event by event, 5  - Monthly, Enter Soil Loss output option [1]",5,,,
Enter name of hillslope pass file -->,text,,"Soil loss output options for continuous simulatio: [1] - Abbreviated annual, 2  - Detailed annual, 3  - Abbreviated event by event, 4  - Detailed event by event, 5  - Monthly, Enter Soil Loss output option [1]",
Enter name of master watershed pass file -->,text,,Multiple hillslopes or hillslope/watershed version: Enter the number of hillslopes --> ,
